state_code,district_code,district_name,district_key,households_2011,persons_2011,males_2011,females_2011,rural_pop_2011,rural_hh_2011,urban_pop_2011,urban_hh_2011,urban_pct_2011,persons_2001,males_2001,females_2001,rural_2001,number_of_households_2001,scheduled_caste_population_2001,scheduled_tribe_population_2001,persons__literate_2001,persons__literacy_rate_2001,males__literatacy_rate_2001,females__literacy_rate_2001,total_educated_2001,below_primary_2001,primary_2001,middle_2001,matric_higher_secondary_diploma_2001,graduate_and_above_2001,x0___4_years_2001,x5___14_years_2001,x15___59_years_2001,total_workers_2001,main_workers_2001,marginal_workers_2001,non_workers_2001,total_inhabited_villages_2001,drinking_water_facilities_2001,safe_drinking_water_2001,primary_school_2001,middle_schools_2001,college_2001,medical_facility_2001,primary_health_centre_2001,bus_services_2001,paved_approach_road_2001,permanent_house_2001,semi_permanent_house_2001,temporary_house_2001,villages_inhabited,villages_uninhabited,towns,area_sqkm,pop_per_sqkm,pincodes
02,028,Hamirpur,hamirpur,105519,454768,217070,237698,423338,98115,31430,7404,6.91,412700.0,196593.0,216107.0,382494,86771.0,,155,298498.0,82.46,90.15,75.7,298498.0,44767.0,79284.0,59251.0,96848.0,15783.0,36232.0,85853.0,240029.0,205405.0,119870.0,85535.0,207295.0,1635.0,1635.0,1634.0,555.0,224,3,289.0,16,891,733,41.1,56.8,2.1,1671,54,4,1117.999908243244,407,"[210301, 210341, 210422, 210428, 210430, 210432, 210501, 210502, 210505, 210506]"
02,029,Una,una,110332,521173,263692,257481,476260,100502,44913,9830,8.62,448273.0,224524.0,223749.0,408849,88181.0,,51,312278.0,80.37,87.73,73.18,312278.0,55738.0,88129.0,57583.0,93782.0,13646.0,42138.0,97088.0,259046.0,201658.0,119050.0,82608.0,246615.0,758.0,758.0,756.0,415.0,193,4,284.0,12,489,450,67.2,25.5,7.4,790,58,5,1539.9999053468234,338,"[174301, 174302, 174303, 174306, 174307, 174308, 174314, 174315, 174316, 174317, 174319, 174320, 174321, 174503, 174507, 176601, 177031, 177039, 177109, 177201, 177202, 177203, 177204, 177205, 177206, 177207, 177208, 177209, 177210, 177211, 177212, 177213, 177219, 177220]"
02,030,Bilaspur,bilaspur,80485,381956,192764,189192,356827,74712,25129,5773,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,108,4,1167.0003378612182,327,
02,031,Solan,solan,122425,580320,308754,271566,478173,96510,102147,25915,17.6,500557.0,270291.0,230266.0,409362,99317.0,,3542,332410.0,76.57,84.75,66.89,332410.0,62747.0,88573.0,58832.0,94957.0,22900.0,47189.0,103238.0,312929.0,263445.0,172274.0,91171.0,237112.0,2388.0,2386.0,2332.0,798.0,227,1,310.0,20,1210,783,69.9,25.6,4.6,2383,161,8,1936.0005246703984,300,"[171102, 173201, 173202, 173204, 173205, 173206, 173207, 173208, 173209, 173210, 173211, 173212, 173213, 173214, 173215, 173218, 173220, 173221, 173222, 173225, 173230, 173233, 173234, 173235, 174101, 174102, 174103]"
02,032,Sirmaur,sirmaur,98208,529855,276289,253566,472690,85087,57165,13121,10.79,458593.0,241299.0,217294.0,410923,81441.0,,5960,274643.0,70.39,79.36,60.37,274643.0,78462.0,82376.0,41188.0,54470.0,12755.0,48301.0,110941.0,264905.0,225872.0,175913.0,49959.0,232721.0,966.0,966.0,952.0,694.0,227,1,254.0,23,523,317,77.6,17.1,5.3,968,8,3,2825.0001594548926,188,"[173001, 173021, 173022, 173023, 173024, 173025, 173026, 173027, 173028, 173029, 173030, 173031, 173032, 173101, 173104]"
02,033,Shimla,shimla,184362,814010,425039,388971,612659,129854,201351,54508,24.74,722502.0,380996.0,341506.0,555269,154693.0,,4112,504330.0,79.12,87.19,70.07,504330.0,97060.0,114805.0,78995.0,153284.0,48464.0,59305.0,149801.0,455784.0,370223.0,305709.0,64514.0,352279.0,2520.0,2519.0,2493.0,1363.0,453,3,396.0,53,938,477,83.2,14.6,2.2,2705,526,11,5131.000407287827,159,"[171001, 171002, 171003, 171004, 171005, 171006, 171007, 171008, 171009, 171010, 171011, 171012, 171013, 171018, 171019, 171103, 171201, 171202, 171203, 171204, 171205, 171206, 171207, 171208, 171209, 171210, 171211, 171212, 171213, 171214, 171215, 171216, 171217, 171218, 171219, 171220, 171221, 171222, 171223, 171224, 171225, 171301, 172021, 172022, 172024, 172027, 172028, 172029, 172031, 172034, 172102]"
02,034,Kinnaur,kinnaur,19976,84121,46249,37872,84121,19976,0,0,0.0,78334.0,42173.0,36161.0,78334,18641.0,,56268,51913.0,75.2,84.3,64.4,51913.0,13424.0,14945.0,9158.0,11537.0,2069.0,6691.0,15631.0,48750.0,47811.0,40313.0,7498.0,30523.0,234.0,196.0,188.0,158.0,76,1,77.0,17,90,78,48.9,45.1,5.9,241,419,0,6400.999861719775,13,"[172103, 172104, 172105, 172106, 172107, 172108, 172109, 172110, 172111, 172112, 172115, 172116, 172118]"
03,035,Gurdaspur,gurdaspur,443666,2298323,1212617,1085706,1639004,312300,659319,131366,28.69,2104011.0,1113077.0,990934.0,1568788,366025.0,,-,1345447.0,73.77,79.78,67.15,1345447.0,223419.0,333312.0,236226.0,461359.0,69513.0,188524.0,480716.0,1233042.0,700557.0,568322.0,132235.0,1403454.0,1532.0,1531.0,1531.0,1375.0,443,7,517.0,82,1153,1474,85.3,10.8,3.9,1515,80,27,3550.999920093959,647,"[143505, 143506, 143507, 143511, 143512, 143513, 143514, 143515, 143516, 143517, 143518, 143519, 143520, 143521, 143525, 143526, 143527, 143528, 143529, 143530, 143531, 143532, 143602, 143604, 143605, 145001]"
03,036,Kapurthala ,kapurthala,167989,815168,426311,388857,532706,107710,282462,60279,34.65,754521.0,399623.0,354898.0,507994,136664.0,,-,487554.0,73.93,79.02,68.29,487554.0,81344.0,120637.0,86011.0,160506.0,31470.0,63447.0,168504.0,447642.0,262741.0,231222.0,31519.0,491780.0,618.0,618.0,618.0,478.0,194,1,359.0,11,298,525,93.7,4.4,1.9,612,76,9,1633.0021470810038,499,"[144401, 144408, 144411, 144601, 144602, 144606, 144620, 144621, 144622, 144624, 144625, 144626, 144628, 144631, 144632, 144802, 144803, 144804, 144819]"
03,037,Jalandhar,jalandhar,461635,2193590,1145211,1048379,1032419,213682,1161171,247953,52.93,1962700.0,1040177.0,922523.0,1030717,364030.0,,-,1352044.0,78.04,82.49,73.08,1352044.0,209338.0,321830.0,229657.0,449212.0,123954.0,154749.0,413991.0,1206116.0,676835.0,599324.0,77511.0,1285865.0,934.0,934.0,934.0,832.0,361,7,598.0,29,703,934,92.7,5.4,1.9,922,19,21,2624,836,"[144001, 144002, 144003, 144004, 144005, 144006, 144007, 144008, 144009, 144010, 144011, 144012, 144014, 144020, 144021, 144022, 144023, 144024, 144025, 144026, 144027, 144028, 144030, 144031, 144034, 144035, 144036, 144037, 144039, 144040, 144041, 144042, 144043, 144044, 144101, 144102, 144103, 144104, 144106, 144201, 144301, 144302, 144303, 144311, 144405, 144407, 144409, 144410, 144416, 144418, 144419, 144630, 144633, 144701, 144703, 144801, 144805, 144806]"
03,038,Hoshiarpur,hoshiarpur,336994,1586625,809057,777568,1251656,264831,334969,72163,21.11,1480736.0,765132.0,715604.0,1188662,279904.0,,-,1050378.0,81.02,86.45,75.32,1050378.0,175253.0,267773.0,196060.0,347343.0,54347.0,126077.0,320421.0,870131.0,513351.0,415123.0,98228.0,967385.0,1386.0,1386.0,1361.0,1232.0,332,5,382.0,38,827,1292,91.9,5.8,2.4,1385,31,13,3386.0013417644177,469,"[144105, 144202, 144204, 144205, 144206, 144207, 144208, 144209, 144210, 144211, 144212, 144213, 144214, 144216, 144221, 144222, 144223, 144305, 144306, 144404, 144406, 144519, 144520, 144523, 144528, 144529, 144530, 144531, 146001, 146021, 146022, 146023, 146024, 146101, 146102, 146103, 146104, 146105, 146106, 146107, 146108, 146109, 146110, 146111, 146112, 146113, 146114, 146116]"
03,039,Shahid Bhagat Singh Nagar ,shahidbhagatsinghnagar,129500,612310,313291,299019,486894,102766,125416,26734,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,10,8,1282.0029369038623,478,
03,040,Fatehgarh Sahib,fatehgarhsahib,118100,600163,320795,279368,414681,78997,185482,39103,30.91,538041.0,290137.0,247904.0,386950,93414.0,,-,347364.0,73.65,78.27,68.31,347364.0,61585.0,98165.0,63487.0,102297.0,17270.0,44830.0,116853.0,325129.0,206139.0,182020.0,24119.0,331902.0,442.0,442.0,442.0,419.0,129,-,171.0,11,356,442,91.0,7.0,2.1,442,4,5,1180,509,"[140405, 140407, 147301]"
03,041,Ludhiana,ludhiana,716826,3498739,1867816,1630923,1429031,280796,2069708,436030,59.16,3032831.0,1662716.0,1370115.0,1339178,558650.0,,-,2036278.0,76.5,80.25,71.95,2036278.0,322639.0,490418.0,345583.0,664797.0,177203.0,249762.0,644346.0,1879895.0,1149638.0,1041517.0,108121.0,1883193.0,897.0,897.0,897.0,842.0,450,15,550.0,72,824,896,93.1,4.5,2.4,885,22,20,3578,978,"[141001, 141002, 141003, 141004, 141006, 141007, 141008, 141010, 141012, 141013, 141014, 141015, 141016, 141017, 141101, 141102, 141103, 141104, 141105, 141106, 141107, 141108, 141109, 141110, 141112, 141113, 141114, 141115, 141116, 141117, 141118, 141119, 141120, 141121, 141122, 141123, 141125, 141126, 141127, 141201, 141202, 141203, 141204, 141205, 141206, 141401, 141412, 141413, 141414, 141415, 141416, 141417, 141418, 141419, 141422, 142021, 142022, 142023, 142024, 142025, 142026, 142027, 142028, 142029, 142030, 142031, 142032, 142033, 142034, 142035, 142036]"
03,042,Moga,moga,193256,995746,525920,469826,768500,147298,227246,45958,22.82,894854.0,474139.0,420715.0,716214,153744.0,,-,494525.0,63.52,68.01,58.52,494525.0,103696.0,141484.0,82548.0,137872.0,19640.0,77989.0,203769.0,519736.0,358763.0,302602.0,56161.0,536091.0,321.0,321.0,321.0,297.0,205,12,225.0,32,230,321,87.3,7.6,5.1,319,6,5,2242,444,"[142001, 142002, 142003, 142011, 142037, 142038, 142039, 142040, 142042, 142045, 142046, 142048, 142049, 142053, 142054, 142055, 142056, 142057, 142058]"
03,043,Firozpur,firozpur,385994,2029074,1071637,957437,1476518,276967,552556,109027,27.23,1746107.0,926224.0,819883.0,1295382,301112.0,,-,903273.0,60.69,68.73,51.72,903273.0,202779.0,249084.0,153723.0,237261.0,42295.0,170594.0,432493.0,997597.0,648676.0,535889.0,112787.0,1097431.0,968.0,954.0,953.0,866.0,406,2,756.0,36,836,968,68.8,9.5,21.7,955,45,13,5305,382,"[142041, 142044, 142047, 142050, 142052, 142060, 152001, 152002, 152003, 152004, 152005, 152021, 152023, 152024, 152033, 152116, 152117, 152121, 152122, 152123, 152124, 152128, 152132]"
03,044,Muktsar,muktsar,174360,901896,475622,426274,649705,124124,252191,50236,27.96,777493.0,411217.0,366276.0,578929,135442.0,,-,391658.0,58.2,65.39,50.25,391658.0,86921.0,106371.0,68229.0,103194.0,18336.0,69651.0,179224.0,456441.0,309572.0,264579.0,44993.0,467921.0,234.0,234.0,234.0,230.0,172,-,127.0,17,234,234,76.1,11.9,12.1,233,1,4,2593,348,"[151210, 151211, 152026, 152031, 152032, 152101, 152107, 152112, 152113, 152114, 152115]"
03,045,Faridkot,faridkot,120893,617508,326671,290837,400457,76728,217051,44165,35.15,550892.0,292596.0,258296.0,357321,97690.0,,-,295618.0,61.95,68.15,55.03,295618.0,62735.0,78777.0,47844.0,83477.0,18108.0,49420.0,126760.0,323257.0,209754.0,181873.0,27881.0,341138.0,163.0,163.0,163.0,160.0,139,-,107.0,11,161,163,85.0,8.3,6.7,163,8,3,1458,424,"[151203, 151204, 151205, 151207, 151209, 151212, 151213]"
03,046,Bathinda,bathinda,273902,1388525,743197,645328,889308,171292,499217,102610,35.95,1183295.0,632809.0,550486.0,831541,208993.0,,-,632570.0,61.18,67.78,53.7,632570.0,129527.0,167149.0,101163.0,178842.0,40236.0,99487.0,265093.0,706688.0,500667.0,408924.0,91743.0,682628.0,280.0,280.0,280.0,280.0,185,1,181.0,21,280,279,84.4,9.9,5.7,279,2,12,3353,414,"[151001, 151002, 151003, 151004, 151005, 151101, 151102, 151103, 151104, 151105, 151106, 151108, 151111, 151201, 151206, 151301, 151302, 151401]"
03,047,Mansa,mansa,149630,769751,408732,361019,606147,117232,163604,32398,21.25,688758.0,366446.0,322312.0,546329,121075.0,,-,310632.0,52.41,58.9,45.18,310632.0,78444.0,87634.0,49923.0,74797.0,11881.0,64292.0,163473.0,393359.0,281491.0,227622.0,53869.0,407267.0,238.0,237.0,237.0,237.0,135,1,123.0,15,235,237,74.3,20.3,5.4,238,2,5,2198,350,"[151502, 151503, 151504, 151505, 151506, 151507, 151508]"
03,048,Patiala,patiala,372293,1895686,1002522,893164,1132406,214257,763280,158036,40.26,1844934.0,987390.0,857544.0,1200224,327859.0,,-,1119824.0,69.78,75.88,62.86,1119824.0,209048.0,291071.0,190361.0,320437.0,91461.0,161891.0,414704.0,1109552.0,681951.0,589015.0,92936.0,1162983.0,1054.0,1053.0,1053.0,986.0,333,-,172.0,26,685,1053,85.3,11.8,2.9,895,17,12,3325,570,"[140401, 140402, 140601, 140701, 140702, 147001, 147002, 147003, 147004, 147005, 147006, 147007, 147021, 147101, 147102, 147103, 147104, 147105, 147111, 147201, 147202]"
03,049,Amritsar ,amritsar,488898,2490656,1318408,1172248,1156045,214993,1334611,273905,53.58,3096077.0,1650589.0,1445488.0,1872802,541339.0,,-,1793999.0,67.27,72.61,61.26,1793999.0,330327.0,440311.0,281407.0,588144.0,116805.0,286056.0,727605.0,1799007.0,1112200.0,938100.0,174100.0,1983877.0,1185.0,1151.0,1151.0,1114.0,611,9,696.0,154,992,1102,83.0,10.8,6.2,703,36,15,2683,928,"[143001, 143002, 143005, 143006, 143008, 143101, 143102, 143103, 143105, 143108, 143109, 143116, 143119, 143149, 143201, 143202, 143203, 143204, 143205, 143414, 143502, 143504, 143603, 143606]"
03,050,Tarn Taran,tarntaran,203421,1119627,589369,530258,977832,176669,141795,26752,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,10,4,2414,464,
03,051,Rupnagar,rupnagar,135635,684627,357485,327142,506820,97827,177807,37808,25.97,1116108.0,596582.0,519526.0,753701,205954.0,,-,760067.0,78.08,83.97,71.4,760067.0,127017.0,188319.0,127864.0,241745.0,67260.0,96371.0,244872.0,667831.0,437343.0,397119.0,40224.0,678765.0,864.0,864.0,864.0,785.0,278,5,496.0,18,652,772,88.2,8.1,3.7,591,20,8,1356,505,"[140001, 140111, 140113, 140114, 140116, 140123, 140124, 140306, 140308, 160055, 160059, 160062, 160071]"
03,052,Sahibzada Ajit Singh Nagar,sahibzadaajitsinghnagarmohalimohali,205411,994628,529253,465375,450017,85123,544611,120288,54.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,16,15,1094,909,
